category,location,crop_name,year,min_price_inr,max_price_inr
Cereals,Kothagudem,Rice,2025,30,50
Cereals,Mahabubnagar,Rice,2019,27,46
Cereals,Mahabubnagar,Rice,2020,38,51
Cereals,Mahabubnagar,Rice,2021,33,52
Cereals,Mahabubnagar,Rice,2022,45,64
Cereals,Mahabubnagar,Rice,2023,38,58
Cereals,Mahabubnagar,Rice,2024,39,51
Cereals,Mahabubnagar,Rice,2025,42,55
Cereals,Mancherial,Rice,2019,44,54
Cereals,Mancherial,Rice,2020,46,59
Cereals,Mancherial,Rice,2021,40,55
Cereals,Mancherial,Rice,2022,29,48
Cereals,Mancherial,Rice,2023,16,30
Cereals,Mancherial,Rice,2024,36,46
Cereals,Mancherial,Rice,2025,33,52
Cereals,Medak,Rice,2019,30,46
Cereals,Medak,Rice,2020,39,58
Cereals,Medak,Rice,2021,35,55
Cereals,Medak,Rice,2022,37,55
Cereals,Medak,Rice,2023,21,33
Cereals,Medak,Rice,2024,15,35
Cereals,Medak,Rice,2025,28,46
Cereals,Medchal–Malkajgiri,Rice,2019,43,62
Cereals,Medchal–Malkajgiri,Rice,2020,51,65
Cereals,Medchal–Malkajgiri,Rice,2021,31,50
Cereals,Medchal–Malkajgiri,Rice,2022,24,34
Cereals,Medchal–Malkajgiri,Rice,2023,31,43
Cereals,Medchal–Malkajgiri,Rice,2024,30,47
Cereals,Medchal–Malkajgiri,Rice,2025,54,74
Cereals,Mulugu,Rice,2019,23,33
Cereals,Mulugu,Rice,2020,52,69
Cereals,Mulugu,Rice,2021,33,46
Cereals,Mulugu,Rice,2022,18,32
Cereals,Mulugu,Rice,2023,46,62
Cereals,Mulugu,Rice,2024,27,41
Cereals,Mulugu,Rice,2025,32,51
Cereals,Nagarkurnool,Rice,2019,44,61
Cereals,Nagarkurnool,Rice,2020,20,37
Cereals,Nagarkurnool,Rice,2021,53,70
Cereals,Nagarkurnool,Rice,2022,39,53
Cereals,Nagarkurnool,Rice,2023,60,73
Cereals,Nagarkurnool,Rice,2024,42,55
Cereals,Nagarkurnool,Rice,2025,37,52
Cereals,Nalgonda,Rice,2019,25,38
Cereals,Nalgonda,Rice,2020,33,53
Cereals,Nalgonda,Rice,2021,14,33
Cereals,Nalgonda,Rice,2022,45,57
Cereals,Nalgonda,Rice,2023,23,43
Cereals,Nalgonda,Rice,2024,23,39
Cereals,Nalgonda,Rice,2025,20,38
Cereals,Nirmal,Rice,2019,42,60
Cereals,Nirmal,Rice,2020,51,65
Cereals,Nirmal,Rice,2021,27,39
Cereals,Nirmal,Rice,2022,47,61
Cereals,Nirmal,Rice,2023,24,43
Cereals,Nirmal,Rice,2024,13,30
Cereals,Nirmal,Rice,2025,41,58
Cereals,Nizamabad,Rice,2019,23,35
Cereals,Nizamabad,Rice,2020,44,61
Cereals,Nizamabad,Rice,2021,45,60
Cereals,Nizamabad,Rice,2022,49,64
Cereals,Nizamabad,Rice,2023,31,51
Cereals,Nizamabad,Rice,2024,33,49
Cereals,Nizamabad,Rice,2025,25,45
Cereals,Peddapalli,Rice,2019,33,46
Cereals,Peddapalli,Rice,2020,30,43
Cereals,Peddapalli,Rice,2021,45,59
Cereals,Peddapalli,Rice,2022,23,33
Cereals,Peddapalli,Rice,2023,27,47
Cereals,Peddapalli,Rice,2024,16,35
Cereals,Peddapalli,Rice,2025,24,43
Cereals,Rajanna Sircilla,Rice,2019,40,58
Cereals,Rajanna Sircilla,Rice,2020,19,36
Cereals,Rajanna Sircilla,Rice,2021,46,60
Cereals,Rajanna Sircilla,Rice,2022,42,60
Cereals,Rajanna Sircilla,Rice,2023,41,58
Cereals,Rajanna Sircilla,Rice,2024,32,45
Cereals,Rajanna Sircilla,Rice,2025,53,68
Cereals,Rangareddy,Rice,2019,17,35
Cereals,Rangareddy,Rice,2020,46,63
Cereals,Rangareddy,Rice,2021,42,60
Cereals,Rangareddy,Rice,2022,45,59
Cereals,Rangareddy,Rice,2023,43,59
Cereals,Rangareddy,Rice,2024,31,46
Cereals,Rangareddy,Rice,2025,41,52
Cereals,Sangareddy,Rice,2019,33,45
Cereals,Sangareddy,Rice,2020,48,67
Cereals,Sangareddy,Rice,2021,22,32
Cereals,Sangareddy,Rice,2022,20,32
Cereals,Sangareddy,Rice,2023,27,45
Cereals,Sangareddy,Rice,2024,37,52
Cereals,Sangareddy,Rice,2025,29,46
Cereals,Siddipet,Rice,2019,41,57
Cereals,Siddipet,Rice,2020,33,53
Cereals,Siddipet,Rice,2021,21,32
Cereals,Siddipet,Rice,2022,17,27
Cereals,Siddipet,Rice,2023,44,58
Cereals,Siddipet,Rice,2024,40,50
Cereals,Siddipet,Rice,2025,17,30
Cereals,Suryapet,Rice,2019,54,73
Cereals,Suryapet,Rice,2020,36,46
Cereals,Suryapet,Rice,2021,24,40
Cereals,Suryapet,Rice,2022,28,38
Cereals,Suryapet,Rice,2023,42,61
Cereals,Suryapet,Rice,2024,51,69
Cereals,Suryapet,Rice,2025,50,61
Cereals,Vikarabad,Rice,2019,27,45
Cereals,Vikarabad,Rice,2020,31,44
Cereals,Vikarabad,Rice,2021,17,27
Cereals,Vikarabad,Rice,2022,30,47
Cereals,Vikarabad,Rice,2023,24,44
Cereals,Vikarabad,Rice,2024,19,33
Cereals,Vikarabad,Rice,2025,36,56
Cereals,Warangal Rural,Rice,2019,42,55
Cereals,Warangal Rural,Rice,2020,22,37
Cereals,Warangal Rural,Rice,2021,49,59
Cereals,Warangal Rural,Rice,2022,36,50
Cereals,Warangal Rural,Rice,2023,24,38
Cereals,Warangal Rural,Rice,2024,46,59
Cereals,Warangal Rural,Rice,2025,33,43
Cereals,Warangal Urban,Rice,2019,45,55
Cereals,Warangal Urban,Rice,2020,27,37
Cereals,Warangal Urban,Rice,2021,20,40
Cereals,Warangal Urban,Rice,2022,44,61
Cereals,Warangal Urban,Rice,2023,28,47
Cereals,Warangal Urban,Rice,2024,23,40
Cereals,Warangal Urban,Rice,2025,23,42
Cereals,Wanaparthy,Rice,2019,54,65
Cereals,Wanaparthy,Rice,2020,49,60
Cereals,Wanaparthy,Rice,2021,41,54
Cereals,Wanaparthy,Rice,2022,24,40
Cereals,Wanaparthy,Rice,2023,40,50
Cereals,Wanaparthy,Rice,2024,34,49
Cereals,Wanaparthy,Rice,2025,36,54
Cereals,Yadadri Bhuvanagiri,Rice,2019,37,56
Cereals,Yadadri Bhuvanagiri,Rice,2020,24,37
Cereals,Yadadri Bhuvanagiri,Rice,2021,28,39
Cereals,Yadadri Bhuvanagiri,Rice,2022,20,32
Cereals,Yadadri Bhuvanagiri,Rice,2023,17,37
Cereals,Yadadri Bhuvanagiri,Rice,2024,28,48
Cereals,Yadadri Bhuvanagiri,Rice,2025,32,52
Cereals,Adilabad,Maize,2019,25,45
Cereals,Adilabad,Maize,2020,40,50
Cereals,Adilabad,Maize,2021,47,58
Cereals,Adilabad,Maize,2022,30,44
Cereals,Adilabad,Maize,2023,21,39
Cereals,Adilabad,Maize,2024,37,53
Cereals,Adilabad,Maize,2025,19,37
Cereals,Bhadradri Kothagudem,Maize,2019,29,41
Cereals,Bhadradri Kothagudem,Maize,2020,51,70
Cereals,Bhadradri Kothagudem,Maize,2021,26,36
Cereals,Bhadradri Kothagudem,Maize,2022,48,68
Cereals,Bhadradri Kothagudem,Maize,2023,37,52
Cereals,Bhadradri Kothagudem,Maize,2024,29,42
Cereals,Bhadradri Kothagudem,Maize,2025,55,68
Cereals,Hyderabad,Maize,2019,38,50
Cereals,Hyderabad,Maize,2020,28,45
Cereals,Hyderabad,Maize,2021,21,32
Cereals,Hyderabad,Maize,2022,33,52
Cereals,Hyderabad,Maize,2023,16,27
Cereals,Hyderabad,Maize,2024,24,36
Cereals,Hyderabad,Maize,2025,36,47
Cereals,Jagtial,Maize,2019,24,37
Cereals,Jagtial,Maize,2020,38,56
Cereals,Jagtial,Maize,2021,35,55
Cereals,Jagtial,Maize,2022,40,55
Cereals,Jagtial,Maize,2023,23,41
Cereals,Jagtial,Maize,2024,38,49
Cereals,Jagtial,Maize,2025,50,62
Cereals,Jangaon,Maize,2019,53,65
Cereals,Jangaon,Maize,2020,48,63
Cereals,Jangaon,Maize,2021,23,33
Cereals,Jangaon,Maize,2022,38,48
Cereals,Jangaon,Maize,2023,32,47
Cereals,Jangaon,Maize,2024,34,44
Cereals,Jangaon,Maize,2025,50,62
Cereals,Jayashankar Bhupalapally,Maize,2019,36,46
Cereals,Jayashankar Bhupalapally,Maize,2020,43,58
Cereals,Jayashankar Bhupalapally,Maize,2021,36,53
Cereals,Jayashankar Bhupalapally,Maize,2022,24,43
Cereals,Jayashankar Bhupalapally,Maize,2023,46,60
Cereals,Jayashankar Bhupalapally,Maize,2024,47,58
Cereals,Jayashankar Bhupalapally,Maize,2025,34,48
Cereals,Jogulamba Gadwal,Maize,2019,35,50
Cereals,Jogulamba Gadwal,Maize,2020,19,33
Cereals,Jogulamba Gadwal,Maize,2021,41,56
Cereals,Jogulamba Gadwal,Maize,2022,21,36
Cereals,Jogulamba Gadwal,Maize,2023,22,39
Cereals,Jogulamba Gadwal,Maize,2024,29,45
Cereals,Jogulamba Gadwal,Maize,2025,40,59
Cereals,Kumram Bheem Asifabad,Maize,2019,49,66
Cereals,Kumram Bheem Asifabad,Maize,2020,40,60
Cereals,Kumram Bheem Asifabad,Maize,2021,33,47
Cereals,Kumram Bheem Asifabad,Maize,2022,38,58
Cereals,Kumram Bheem Asifabad,Maize,2023,13,31
Cereals,Kumram Bheem Asifabad,Maize,2024,23,37
Cereals,Kumram Bheem Asifabad,Maize,2025,14,30
Cereals,Khammam,Maize,2019,29,48
Cereals,Khammam,Maize,2020,42,57
Cereals,Khammam,Maize,2021,51,71
Cereals,Khammam,Maize,2022,41,52
Cereals,Khammam,Maize,2023,30,49
Cereals,Khammam,Maize,2024,40,53
Cereals,Khammam,Maize,2025,42,56
Cereals,Karimnagar,Maize,2019,58,71
Cereals,Karimnagar,Maize,2020,26,44
Cereals,Karimnagar,Maize,2021,26,36
Cereals,Karimnagar,Maize,2022,45,58
Cereals,Karimnagar,Maize,2023,31,48
Cereals,Karimnagar,Maize,2024,56,72
Cereals,Karimnagar,Maize,2025,37,52
Cereals,Kothagudem,Maize,2019,28,44
Cereals,Kothagudem,Maize,2020,46,57
Cereals,Kothagudem,Maize,2021,20,34
Cereals,Kothagudem,Maize,2022,44,55
Cereals,Kothagudem,Maize,2023,35,52
Cereals,Kothagudem,Maize,2024,35,48
Cereals,Kothagudem,Maize,2025,22,42
Cereals,Mahabubnagar,Maize,2019,28,39
Cereals,Mahabubnagar,Maize,2020,35,46
Cereals,Mahabubnagar,Maize,2021,27,44
Cereals,Mahabubnagar,Maize,2022,31,42
Cereals,Mahabubnagar,Maize,2023,38,54
Cereals,Mahabubnagar,Maize,2024,30,48
Cereals,Mahabubnagar,Maize,2025,20,30
Cereals,Mancherial,Maize,2019,51,70
Cereals,Mancherial,Maize,2020,48,62
Cereals,Mancherial,Maize,2021,35,54
Cereals,Mancherial,Maize,2022,13,25
Cereals,Mancherial,Maize,2023,40,55
Cereals,Mancherial,Maize,2024,24,42
Cereals,Mancherial,Maize,2025,39,56
Cereals,Medak,Maize,2019,49,68
Cereals,Medak,Maize,2020,18,30
Cereals,Medak,Maize,2021,28,48
Cereals,Medak,Maize,2022,34,51
Cereals,Medak,Maize,2023,55,65
Cereals,Medak,Maize,2024,33,53
Cereals,Medak,Maize,2025,36,51
Cereals,Medchal–Malkajgiri,Maize,2019,34,44
Cereals,Medchal–Malkajgiri,Maize,2020,38,49
Cereals,Medchal–Malkajgiri,Maize,2021,29,44
Cereals,Medchal–Malkajgiri,Maize,2022,23,35
Cereals,Medchal–Malkajgiri,Maize,2023,43,59
Cereals,Medchal–Malkajgiri,Maize,2024,13,28
Cereals,Medchal–Malkajgiri,Maize,2025,41,51
Cereals,Mulugu,Maize,2019,39,56
Cereals,Mulugu,Maize,2020,33,43
Cereals,Mulugu,Maize,2021,35,48
Cereals,Mulugu,Maize,2022,29,48
Cereals,Mulugu,Maize,2023,38,51
Cereals,Mulugu,Maize,2024,18,33
Cereals,Mulugu,Maize,2025,31,51
Cereals,Nagarkurnool,Maize,2019,52,70
Cereals,Nagarkurnool,Maize,2020,54,67
Cereals,Nagarkurnool,Maize,2021,49,63
Cereals,Nagarkurnool,Maize,2022,22,34
Cereals,Nagarkurnool,Maize,2023,31,49
Cereals,Nagarkurnool,Maize,2024,47,62
Cereals,Nagarkurnool,Maize,2025,37,53
Cereals,Nalgonda,Maize,2019,30,49
Cereals,Nalgonda,Maize,2020,16,34
Cereals,Nalgonda,Maize,2021,32,49
Cereals,Nalgonda,Maize,2022,51,69
Cereals,Nalgonda,Maize,2023,32,52
Cereals,Nalgonda,Maize,2024,38,55
Cereals,Nalgonda,Maize,2025,32,50
Cereals,Nirmal,Maize,2019,12,24
Cereals,Nirmal,Maize,2020,41,60
Cereals,Nirmal,Maize,2021,31,48
Cereals,Nirmal,Maize,2022,37,54
Cereals,Nirmal,Maize,2023,47,66
Cereals,Nirmal,Maize,2024,46,61
Cereals,Nirmal,Maize,2025,42,54
Cereals,Nizamabad,Maize,2019,32,45
Cereals,Nizamabad,Maize,2020,47,59
Cereals,Nizamabad,Maize,2021,16,32
Cereals,Nizamabad,Maize,2022,28,39
Cereals,Nizamabad,Maize,2023,33,52
Cereals,Nizamabad,Maize,2024,21,40
Cereals,Nizamabad,Maize,2025,42,59
Cereals,Peddapalli,Maize,2019,53,68
Cereals,Peddapalli,Maize,2020,27,40
Cereals,Peddapalli,Maize,2021,35,52
Cereals,Peddapalli,Maize,2022,50,61
Cereals,Peddapalli,Maize,2023,43,56
Cereals,Peddapalli,Maize,2024,36,52
Cereals,Peddapalli,Maize,2025,51,61
Cereals,Rajanna Sircilla,Maize,2019,56,71
Cereals,Rajanna Sircilla,Maize,2020,23,41
Cereals,Rajanna Sircilla,Maize,2021,16,26
Cereals,Rajanna Sircilla,Maize,2022,27,40
Cereals,Rajanna Sircilla,Maize,2023,15,33
Cereals,Rajanna Sircilla,Maize,2024,29,39
Cereals,Rajanna Sircilla,Maize,2025,36,46
Cereals,Rangareddy,Maize,2019,29,45
Cereals,Rangareddy,Maize,2020,33,52
Cereals,Rangareddy,Maize,2021,31,46
Cereals,Rangareddy,Maize,2022,43,58
Cereals,Rangareddy,Maize,2023,50,62
Cereals,Rangareddy,Maize,2024,26,44
Cereals,Rangareddy,Maize,2025,38,53
Cereals,Sangareddy,Maize,2019,51,64
Cereals,Sangareddy,Maize,2020,33,46
Cereals,Sangareddy,Maize,2021,52,68
Cereals,Sangareddy,Maize,2022,25,42
Cereals,Sangareddy,Maize,2023,44,54
Cereals,Sangareddy,Maize,2024,35,46
Cereals,Sangareddy,Maize,2025,26,39
Cereals,Siddipet,Maize,2019,27,43
Cereals,Siddipet,Maize,2020,34,50
Cereals,Siddipet,Maize,2021,44,56
Cereals,Siddipet,Maize,2022,44,59
Cereals,Siddipet,Maize,2023,42,56
Cereals,Siddipet,Maize,2024,14,26
Cereals,Siddipet,Maize,2025,18,31
Cereals,Suryapet,Maize,2019,39,57
Cereals,Suryapet,Maize,2020,46,66
Cereals,Suryapet,Maize,2021,38,53
Cereals,Suryapet,Maize,2022,25,38
Cereals,Suryapet,Maize,2023,27,47
Cereals,Suryapet,Maize,2024,31,44
Cereals,Suryapet,Maize,2025,21,34
Cereals,Vikarabad,Maize,2019,19,36
Cereals,Vikarabad,Maize,2020,31,48
Cereals,Vikarabad,Maize,2021,32,42
Cereals,Vikarabad,Maize,2022,15,27
Cereals,Vikarabad,Maize,2023,29,48
Cereals,Vikarabad,Maize,2024,31,49
Cereals,Vikarabad,Maize,2025,55,65
Cereals,Warangal Rural,Maize,2019,49,59
Cereals,Warangal Rural,Maize,2020,30,45
Cereals,Warangal Rural,Maize,2021,41,56
Cereals,Warangal Rural,Maize,2022,26,38
Cereals,Warangal Rural,Maize,2023,40,58
Cereals,Warangal Rural,Maize,2024,16,33
Cereals,Warangal Rural,Maize,2025,27,40
Cereals,Warangal Urban,Maize,2019,22,38
Cereals,Warangal Urban,Maize,2020,39,50
Cereals,Warangal Urban,Maize,2021,43,55
Cereals,Warangal Urban,Maize,2022,48,64
Cereals,Warangal Urban,Maize,2023,41,58
Cereals,Warangal Urban,Maize,2024,25,44
Cereals,Warangal Urban,Maize,2025,32,46
Cereals,Wanaparthy,Maize,2019,25,43
Cereals,Wanaparthy,Maize,2020,36,49
Cereals,Wanaparthy,Maize,2021,21,37
Cereals,Wanaparthy,Maize,2022,27,41
Cereals,Wanaparthy,Maize,2023,34,54
Cereals,Wanaparthy,Maize,2024,20,32
Cereals,Wanaparthy,Maize,2025,21,31
Cereals,Yadadri Bhuvanagiri,Maize,2019,17,30
Cereals,Yadadri Bhuvanagiri,Maize,2020,17,37
Cereals,Yadadri Bhuvanagiri,Maize,2021,48,60
Cereals,Yadadri Bhuvanagiri,Maize,2022,24,38
Cereals,Yadadri Bhuvanagiri,Maize,2023,26,40
Cereals,Yadadri Bhuvanagiri,Maize,2024,34,52
Cereals,Yadadri Bhuvanagiri,Maize,2025,27,44
Cereals,Adilabad,Sorghum,2019,26,40
Cereals,Adilabad,Sorghum,2020,17,36
Cereals,Adilabad,Sorghum,2021,50,62
Cereals,Adilabad,Sorghum,2022,39,51
Cereals,Adilabad,Sorghum,2023,34,52
Cereals,Adilabad,Sorghum,2024,21,40
Cereals,Adilabad,Sorghum,2025,27,42
Cereals,Bhadradri Kothagudem,Sorghum,2019,40,58
Cereals,Bhadradri Kothagudem,Sorghum,2020,36,56
Cereals,Bhadradri Kothagudem,Sorghum,2021,25,36
Cereals,Bhadradri Kothagudem,Sorghum,2022,36,48
Cereals,Bhadradri Kothagudem,Sorghum,2023,31,44
Cereals,Bhadradri Kothagudem,Sorghum,2024,16,30
Cereals,Bhadradri Kothagudem,Sorghum,2025,31,48
Cereals,Hyderabad,Sorghum,2019,26,36
Cereals,Hyderabad,Sorghum,2020,35,51
Cereals,Hyderabad,Sorghum,2021,46,63
Cereals,Hyderabad,Sorghum,2022,36,54
Cereals,Hyderabad,Sorghum,2023,24,36
Cereals,Hyderabad,Sorghum,2024,22,35
Cereals,Hyderabad,Sorghum,2025,47,62
Cereals,Jagtial,Sorghum,2019,33,50
Cereals,Jagtial,Sorghum,2020,37,49
Cereals,Jagtial,Sorghum,2021,36,50
Cereals,Jagtial,Sorghum,2022,47,58
Cereals,Jagtial,Sorghum,2023,23,42
Cereals,Jagtial,Sorghum,2024,32,44
Cereals,Jagtial,Sorghum,2025,34,46
Cereals,Jangaon,Sorghum,2019,52,66
Cereals,Jangaon,Sorghum,2020,33,53
Cereals,Jangaon,Sorghum,2021,24,41
Cereals,Jangaon,Sorghum,2022,28,44
Cereals,Jangaon,Sorghum,2023,26,39
Cereals,Jangaon,Sorghum,2024,38,51
Cereals,Jangaon,Sorghum,2025,38,54
Cereals,Jayashankar Bhupalapally,Sorghum,2019,43,54
Cereals,Jayashankar Bhupalapally,Sorghum,2020,39,49
Cereals,Jayashankar Bhupalapally,Sorghum,2021,24,41
Cereals,Jayashankar Bhupalapally,Sorghum,2022,35,48
Cereals,Jayashankar Bhupalapally,Sorghum,2023,17,33
Cereals,Jayashankar Bhupalapally,Sorghum,2024,39,55
Cereals,Jayashankar Bhupalapally,Sorghum,2025,49,67
Cereals,Jogulamba Gadwal,Sorghum,2019,47,62
Cereals,Jogulamba Gadwal,Sorghum,2020,28,42
Cereals,Jogulamba Gadwal,Sorghum,2021,43,54
Cereals,Jogulamba Gadwal,Sorghum,2022,29,39
Cereals,Jogulamba Gadwal,Sorghum,2023,19,31
Cereals,Jogulamba Gadwal,Sorghum,2024,37,55
Cereals,Jogulamba Gadwal,Sorghum,2025,16,33
Cereals,Kumram Bheem Asifabad,Sorghum,2019,39,58
Cereals,Kumram Bheem Asifabad,Sorghum,2020,45,55
Cereals,Kumram Bheem Asifabad,Sorghum,2021,40,59
Cereals,Kumram Bheem Asifabad,Sorghum,2022,20,40
Cereals,Kumram Bheem Asifabad,Sorghum,2023,37,47
Cereals,Kumram Bheem Asifabad,Sorghum,2024,12,23
Cereals,Kumram Bheem Asifabad,Sorghum,2025,57,70
Cereals,Khammam,Sorghum,2019,32,48
Cereals,Khammam,Sorghum,2020,46,66
Cereals,Khammam,Sorghum,2021,54,64
Cereals,Khammam,Sorghum,2022,19,39
Cereals,Khammam,Sorghum,2023,26,41
Cereals,Khammam,Sorghum,2024,48,63
Cereals,Khammam,Sorghum,2025,43,62
Cereals,Karimnagar,Sorghum,2019,32,52
Cereals,Karimnagar,Sorghum,2020,24,35
Cereals,Karimnagar,Sorghum,2021,46,59
Cereals,Karimnagar,Sorghum,2022,14,29
Cereals,Karimnagar,Sorghum,2023,32,45
Cereals,Karimnagar,Sorghum,2024,48,64
Cereals,Karimnagar,Sorghum,2025,49,62
Cereals,Kothagudem,Sorghum,2019,49,62
Cereals,Kothagudem,Sorghum,2020,37,54
Cereals,Kothagudem,Sorghum,2021,28,38
Cereals,Kothagudem,Sorghum,2022,44,57
Cereals,Kothagudem,Sorghum,2023,23,35
Cereals,Kothagudem,Sorghum,2024,12,22
Cereals,Kothagudem,Sorghum,2025,34,44
Cereals,Mahabubnagar,Sorghum,2019,50,67
Cereals,Mahabubnagar,Sorghum,2020,34,52
Cereals,Mahabubnagar,Sorghum,2021,33,49
Cereals,Mahabubnagar,Sorghum,2022,39,52
Cereals,Mahabubnagar,Sorghum,2023,54,74
Cereals,Mahabubnagar,Sorghum,2024,43,62
Cereals,Mahabubnagar,Sorghum,2025,39,56
Cereals,Mancherial,Sorghum,2019,32,45
Cereals,Mancherial,Sorghum,2020,45,62
Cereals,Mancherial,Sorghum,2021,29,39
Cereals,Mancherial,Sorghum,2022,30,47
Cereals,Mancherial,Sorghum,2023,35,49
Cereals,Mancherial,Sorghum,2024,37,57
Cereals,Mancherial,Sorghum,2025,30,45
Cereals,Medak,Sorghum,2019,20,33
Cereals,Medak,Sorghum,2020,44,60
Cereals,Medak,Sorghum,2021,42,56
Cereals,Medak,Sorghum,2022,44,54
Cereals,Medak,Sorghum,2023,34,53
Cereals,Medak,Sorghum,2024,26,43
Cereals,Medak,Sorghum,2025,39,57
Cereals,Medchal–Malkajgiri,Sorghum,2019,29,43
Cereals,Medchal–Malkajgiri,Sorghum,2020,40,50
Cereals,Medchal–Malkajgiri,Sorghum,2021,40,55
Cereals,Medchal–Malkajgiri,Sorghum,2022,36,52
Cereals,Medchal–Malkajgiri,Sorghum,2023,59,74
Cereals,Medchal–Malkajgiri,Sorghum,2024,28,41
Cereals,Medchal–Malkajgiri,Sorghum,2025,33,45
Cereals,Mulugu,Sorghum,2019,45,57
Cereals,Mulugu,Sorghum,2020,38,53
Cereals,Mulugu,Sorghum,2021,35,48
Cereals,Mulugu,Sorghum,2022,54,66
Cereals,Mulugu,Sorghum,2023,55,74
Cereals,Mulugu,Sorghum,2024,17,31
Cereals,Mulugu,Sorghum,2025,45,65
Cereals,Nagarkurnool,Sorghum,2019,10,25
Cereals,Nagarkurnool,Sorghum,2020,29,48
Cereals,Nagarkurnool,Sorghum,2021,39,53
Cereals,Nagarkurnool,Sorghum,2022,14,25
Cereals,Nagarkurnool,Sorghum,2023,35,54
Cereals,Nagarkurnool,Sorghum,2024,43,63
Cereals,Nagarkurnool,Sorghum,2025,38,57
Cereals,Nalgonda,Sorghum,2019,18,29
Cereals,Nalgonda,Sorghum,2020,41,54
Cereals,Nalgonda,Sorghum,2021,37,56
Cereals,Nalgonda,Sorghum,2022,32,50
Cereals,Nalgonda,Sorghum,2023,37,50
Cereals,Nalgonda,Sorghum,2024,31,50
Cereals,Nalgonda,Sorghum,2025,17,31
Cereals,Nirmal,Sorghum,2019,48,66
Cereals,Nirmal,Sorghum,2020,42,62
Cereals,Nirmal,Sorghum,2021,42,62
Cereals,Nirmal,Sorghum,2022,22,37
Cereals,Nirmal,Sorghum,2023,35,54
