RecordID,Restaurant Name,City,Entrée Description
120,Topper's Pizza,Milwaukee,"covered in taco sauce, taco meat, mozzarella, cheddar, tortilla chips, lettuce,  tomatoes, black olives and green onions. sour cream and salsa on the side"
121,Gordon's On The Green,San Marcos,"flour tortilla, fluffy scrambled eggs, choice of sausage or applewood smoked bacon, homestyle potatoes, cheddar cheese"
127,Cincinnati Bar & Grill,El Paso,"three crispy corn tortilla tacos shells are filled with chunks of tasty chicken, then shredded cheese and lettuce is piled on top."
131,Agave Grill,Hartford,"flour tortilla filled with scrambled egg, grilled chicken or steak, rajas, chipotle roasted tomatoes, oaxaca cheese topped with tomatillo salsa and served with mexican rice and black beans"
132,Agave Grill,Hartford,"traditional peasant style tacos made from a ragout of chicken, steak, bacon, peppers and onions in soft flour tortillas with oaxaca cheese and avocado. served with mexican rice and vegetarian black beans"
134,Dodge Park Coney Island,Sterling Heights,"spiced ground beef topped with chili, onions, shredded lettuce, cheese, diced tomatoes and tasty sauce packed in a shredded bun"
136,Henry's Tavern,Portland,"scrambled farm fresh eggs, hashbrowns, applewood smoked bacon, tillamook sharp cheddar, avocado sour cream, green onions, pico de gallo"
137,Bridges Cafe & Catering,Portland,"vegan seasoned black beans, scrambled tofu and scallions in a flour tortilla with salsa verde. breakfast burritos are individually wrapped. priced per person, minimum order 10"
138,Bridges Cafe & Catering,Portland,"vegetarian seasoned black beans, scrambled eggs, scallions and jack cheese in a flour tortilla with salsa verde, and sour cream. breakfast burritos are individually wrapped. priced per person, minimum order 10"
144,El Sol De Tala Traditional Mexican Cuisine,Indianapolis,"three traditional soft or crispy tacos, filled of your choice of diced beef, pork, chicken or ground beef, served with salad, black or pinto beans and rice."
146,El Sol De Tala Traditional Mexican Cuisine,Indianapolis,"your choice of pork al pastor, chicken, beef tongue or steak served with fresh cilantro, onions, roasted tomatillo-jalapeno salsa, rice, black or pinto beans."
148,7-Eleven,San Leandro,"soft tacos are floppy and stuff falls out. hard tacos are crumbly and stuff falls out. but taquitos are roundy and stuff stays in. try a taco and cheese taquito packed with seasoned beef, cheddar, monterey jack and mexican spices"
156,Brasitas,Norwalk,"baked egg whites, turkey chorizo, avocado, black beans and oaxaca cheese wrapped in a whole wheet tortilla with spring greens"
157,Brasitas,Norwalk,"red and green peppers, onions, spinach, peas and carrots, wrapped in a flour tortilla, yellow rice and black beans"
159,The Tavern at Diamond Mills,Saugerties,"saffron scrambled tofu, spinach, mushrooms, tomatoes, tabasco, mixed house salad, roasted fingerling potatoes"
165,Taco Bell,San Mateo,"a crunchy taco made with premium seasoned beef, crisp lettuce, and real cheddar cheese, in a shell made from nacho cheese doritos chips."
167,Taco Bell,San Mateo,"a warm, soft flour tortilla wrapped around hearty beans, tangy red sauce, diced onions, and fiesta salsa."
169,Taco Bell,San Mateo,"a warm, soft flour tortilla filled with authentic carne asada steak, crisp shredded lettuce, diced ripe tomatoes, and fiesta salsa."
172,Taco Bell,San Mateo,"a warm, soft flour tortilla thats packed with a double portion of seasoned ground beef, seasoned rice, crunchy red tortilla strips, real cheddar cheese, cool reduced fat sour cream and cheesy molten hot lava sauce."
178,Midtown Corner Cafe,Detroit,"your choice of soft flour or crispy corn tortillas, filled with meat, salsa, cheese or sour cream, and lettuce"
179,Chick-fil-A,Austin,"cilantro tomatillo tortilla, baja beans, organic brown rice, grilled peppers and onions, sauteed zucchini, pico, lettuce, cabbage and guacamole"
180,Chick-fil-A,Austin,"corn tortillas, crispy fish, cilantro, fresh onions, chipotle crema, shredded cabbage, red salsa, and lime"
181,Chick-fil-A,Austin,"ancho chili or smokey chedder tortilla, beef fajita, organic brown rice, baja beans, grilled onions, cheese, pico de gallo, and ancho rancho"
182,Chick-fil-A,Austin,"ancho chili tortilla, brisket, brown rice, pinto beans, grilled onions and peppers, queso, lettuce, cilantro, and 66 red sauce"
184,Chick-fil-A,Austin,"cilantro tomatillo, ancho chili and buttermilk tortillas, crispy fish, chipotle crema, mango pico, guacamole, cheese, cabbage, and lime"
188,Chick-fil-A,Austin,"cilantro tomatillo tortilla, chicken fajita, organic brown rice, baja beans, lettuce, cilantro, cheese, mango pico, chipotle crema, and guacamole"
189,Pancheros Mexican Grill,Cedar Rapids,"a freshly made, giant flour tortilla, filled with your choice of marinated and grilled meats or veggies, whole pinto or black beans, rice, cheese, and salsa."
190,Pancheros Mexican Grill,Cedar Rapids,"everything you find in our burritos, without the tortilla. marinated and grilled meats or veggies, whole pinto or black beans, rice, cheese, and salsa."
191,Pancheros Mexican Grill,Cedar Rapids,"two tacos on freshly made, soft flour tortillas, with your choice of marinated and grilled meats or veggies, lettuce, cheese, and salsa."
213,I Love Mexico Bar & Grill,Providence,"6 flat rolled tortilla, stuffed with beans, homemade cheese, lettuce, tomatoes. choice of chicken, beef or shrimp. served with homemade rice"
225,Tres Amigos,Lambertville,"two light, puffed corn tortilla shells stuffed with your choice of seasoned beef or roasted chicken, topped with lettuce, tomatoes and cheese."
226,Tres Amigos,Lambertville,"beef, chicken, beans or shrimp wrapped in a large flour tortilla topped with melted cheese and your choice of sauce, served with rice and refried beans."
227,Tres Amigos,Lambertville,"three fresh flour tortillas or crispy tacos filled with your choice of seasoned beef or roasted chicken and topped with lettuce, tomatoes and cheese."
236,El Pollo Loco,Sacramento,"el pollo loco chicken avocado burrito is stuffed with our citrus-marinated flame-grilled chicken, fresh avocado, cabbage and creamy cilantro dressing."
238,El Pollo Loco,Sacramento,el pollo loco roja wet burrito is an indulgent and hearty chicken burrito that is smothered in a flavorful colorado sauce and served with our fresh hand-made guacamole and creamy sour cream.
239,El Pollo Loco,Sacramento,lightly battered fish fillet drizzled with creamy lime sauce and spicy fire-roasted chipotle salsa and topped with shredded cabbage and fresh cilantro all tucked into two warm corn tortillas and served with a fresh lime wedge.
240,Fï¿½ï¿½d,Kansas City,"choose from a combination of jack phish or wild rice meat tacos. with cashew cheddar, cashew sour, guacamole, and pico"
241,Fï¿½ï¿½d,Kansas City,"a corn tortilla folded and fried crispy around green jack fruit phish and cashew cheddar, topped with chashew sour cream, guacamole, and pico"
242,Fï¿½ï¿½d,Kansas City,"wild rice fiesta, cashew goji cheddar, cashew lemony cream, pico de gallo and limony guac wrapped up in a collard green leaf"
243,Fï¿½ï¿½d,Kansas City,"wild rice fiesta, black bean mash, brown rice, chili sauce, cashew goji cheddar, cashew lemony cream, lettuce, pico de gallo and limony guacamole"
244,Chili's Grill & Bar,Gurnee,"three flour tortillas with grilled chicken, applewood smoked bacon, tomatoes, cheese, lettuce and ancho-chile ranch dressing."
245,Chili's Grill & Bar,Gurnee,"three flour tortillas with crispy chicken crispers, applewood smoked bacon, tomatoes, cheese, lettuce, honey-chipotle drizzle and ranch dressing."
251,Dos Amigos,Kankakee,"two halibut fish tacos seasoned with our special seasoning, onion   cilantro and taco sauce, served with rice and refried beans."
264,Subway,Omaha,"a fresh fried tortilla loaded with taco beef, cheddar cheese, lettuce and tomato, served with salsa and sour cream on the side"
265,Cinco De Mayo,Ridgeland,"prepared with special, spicy ground beef and topped with chilli con carne, lettuce and tomatoes. wrapped in a hot flour tortilla."
270,Ambrosia Bakery,Baton Rouge,"fried or scrambled eggs with cheddar cheese, pepper jack cheese and pico de gallo, wrapped in a flour tortilla."
271,West on Centre,West Roxbury,"2 scrambled eggs, fresh guacamole, cuban black beans, pico de gallo, cotija cheese, spanish rice, grilled flour tortilla"
273,Interurban,Edmond,"blackened tilapia in two flour tortillas, fresh avocado, shredded cabbage, monterey jack cheese, fresh pineapple salsa and bistro sauce.  served with borracho beans."
275,Interurban,Edmond,"spicy ground beef, soft flour tortillas, tomatoes, cheddar, refried beans, spanish rice, house made tortilla chips and salsa."
276,Interurban,Edmond,"crisp tostada chips loaded with taco meat, cheddar and jack cheeses and salsa. served with pico de gallo, shredded lettuce, jalapenos and sour cream."
277,Ceres Restaurant,Las Vegas,"flour tortilla, scrambled eggs, chorizo sausage, caramelized onions, black beans, monterey cheese, cheddar cheese, guacamole, salsa, sour cream, jalapenos"
281,The Landing at 7 Central,Manchester,"chunks of spicy grilled haddock with rice, peppers, onions mixed greens and a chipotle lime mayo in a flour tortilla"
286,Aqui Cal-Mex,Campbell,"roasted corn rice, organic spinach, veggies, black beans, avocado, salsa fresca, jack and cheddar cheese rolled in a whole wheat tortilla. served with ginger slaw and fresh fruit"
288,Sonic Drive In,Ash Flat,"the all-new zesty cheesesteak breakfast burritos are like tiny alarm clocks for your mouth. combining marinated sirloin steak, zesty cheese sauce, grilled onions, golden tots, fluffy eggs and melty cheddar cheese. because breakfast should be more mmmm than zzzz."
290,Elephant Bar,Burlingame,"marinated beef sirloin with cabbage, carrots, tomatoes, cilantro, avocado and sour cream. served with asian slaw and roasted tomatillo salsa"
291,Elephant Bar,Burlingame,"a large burrito with shredded bbq chicken, ranch beans, choice of white or brown rice, cilantro, cheese blend and sour cream. served in a pool of enchilada sauce"
293,The Tavern On Liberty,Allentown,"marinated grilled chopped chicken and cheddar cheese fill a soft flour tortilla accompanied by spanish rice, mexicorn and chili beans finished with our salsa."
295,The Tavern On Liberty,Allentown,"a fresh flour tortilla filled with your choice of beef, chicken or pork topped with cheese, lettuce, tomato and onion."
305,Hardee's / Red Burrito,Fenton,"loaded with egg, crumbled sausage, bacon and diced ham, lots of shredded cheddar cheese, then wrapped in a warm flour tortilla served with zesty salsa"
307,Fishale Taphouse & Grill,Panama City Beach,"two warm tortillas stuffed with house made crab cakes topped with lettuce, tomato, parmesan cheese, drizzled with roasted red pepper aioli"
318,Jimmy's Cafe On Jefferson,Albuquerque,"your choice of meat, stuffed in a burrito with beans and cheese, red and green chile, served with spanish rice"
319,Juan Jaime's Tacos and Tequila,Chandler,"flour or whole wheat tortilla filled with your choice of black or refried beans, rice, white onions, cilantro, our special cheese blend and a side of sour cream. your choice of filling."
322,Juan Jaime's Tacos and Tequila,Chandler,"two tacos with your choice of corn or flour tortillas, warmed with our cheese blend,  then topped with cilantro, and white onion. served on a plate with rice and beans. your choice of filling"
327,ROOFTOP at E11EVEN,Miami,"four soft tacos stuffed with sushi grade tuna, thinly sliced english cucumber and radish served with spicy mayo"
328,Marchelloni,Mendota,"refried beans, taco flavored beef, and mozzarella cheese baked and topped with lettuce, tomato, cheddar cheese, and taco chips."
331,The Pizza Pipe Line,Richland,"taco meat, tortilla chips, extra cheese, black olives, onions, cheddar cheese on fresh salsa topped with lettuce, sour cream, and sliced tomatoes."
338,Cottage Inn Pizza - Downtown Lansing,Lansing,"olive oil, taco seasoning, beef, red onions, tomatoes, black olives and cheddar cheese, topped with ranch dressing."
339,Jersey Jacks Eatery,Albuquerque,"scrambled eggs, hash browns, homemade green chili and your choice of bacon or sausage wrapped in a flour tortilla."
347,Bruegger's,Wallingford,"stuffed with jack cheese, mushrooms, avocado, roasted red peppers,fresh spinach, black beans, brown rice, and cilantro. served with crisp tortillas."
352,El Mezcal Mexican Restaurant,Arlington,"jumbo flour tortilla filled with grilled chicken or steak, onions, tomatoes and jalapenos. topped with melted cheese, lettuce, sour cream and pico de gallo"
354,El Mezcal Mexican Restaurant,Arlington,"two rolled flour tortillas filled with shredded beef and beans, topped with nacho cheese sauce and served with guacamole salad"
360,El Mexsal,Provo,"three soft corn shell tacos, stuffed, with seasoned fried pork chunks, fresh tomatoes, onions, jalapefios and delicious guacamole and silantro"
361,Kind Cuisine Cafe,Boise,"mexican seasoned tri pulse sprout filling on soft corn tortillas with cheese, sprouts and our avocado salsa. jalapeno on request"
369,Casa OlÃ©,Stafford,"a flour tortilla filled with beans, fajita beef or chicken and topped with ranchero sauce or chili. served with rice and beans. fajita flavor with a twist."
370,Casa OlÃ©,Stafford,"two corn tortillas filled with fajita beef or chicken, pico de gallo and melted monterrey jack cheese. served with rice and beans."
371,Hector's Mariscos,Chula Vista,"flour tortillas stuffed with scrambled eggs, green peppers, fried beans, cheese and chipotle sauce (relleno de huevo, rajas, frijoles, queso, y salsa chipotle)"
373,The Bad Waitress Diner & Coffee Shop,Minneapolis,"three pulled pork tacos with red onions, cilantro, cheddar, mozzarella, and radishes (substitute chicken)"
382,Food.bar.food,Harrisonburg,"two crunchy corn tortillas, fried haddock, baby greens, grilled pineapple salsa and avocado-poppy seed dressing"
395,Jalapenos Mexican Restaurant,Lexington,"charbroiled marinated strips of beef cooked to order, topped with cheese, served with warm corn tortillas, lettuce and sour cream."
396,Jalapenos Mexican Restaurant,Lexington,"charcoal grilled chicken chopped into bite-sized pieces, marinated in our homemade adobo sauce topped with melted chihuahua and monterey jack cheese, lettuce and sour cream"
397,Jalapenos Mexican Restaurant,Lexington,fried fish with rice in a flour tortilla smothered in a jalapeno mayo. garnished with lettuce and pico de gallo. served with a side of tomato salad. no beans.
398,Jalapenos Mexican Restaurant,Lexington,"soft corn tortillas filled with fresh deep-fried fish, shredded lettuce, and jalapeno mayo and pico de gallo."
399,Jalapenos Mexican Restaurant,Lexington,"mexican sausage (chorizo) sauteed with onion, potato, cilantro and cheese served with warm corn tortillas, lettuce and sour cream."
402,Rolando's,Fort Smith,"grilled flour tortilla filled with rice, beans, vegetables, cheese and guacamole topped with tomatillo cream sauce. with chicken or pork"
410,Lucky Star,Burlington,"our big bowl piled high with lettuce, pico de galo, sour cream, chihuahua cheese, rice, refried beans, guacamole, and your choice of meat"
412,Lucky Star,Burlington,"grilled aged skirt steak, grilled onion and green pepper, hickory smoked bacon and chihuahua cheese topped with onion haystack. served with rice, refried beans and your choice of corn or flour tortillas"
414,fat Rooster diner,Indianapolis,"three eggs, hash browns, chorizo, cheddar in a flour tortilla, topped with salsa verde, sour cream, black olives"
415,The Original Pizza Cookery,Woodland Hills,"scrambled eggs, hash browns, cheddar cheese, tomatoes, red onion, with choice of bacon or sausage, wrapped in a flour tortilla. served with a side of salsa"
417,Petra Essence of Mexico,Mckinney,"choose from grilled chicken, beef, or pork layered with anchiote rice, charro beans, jack cheese, and pico de gallo served with a side of queso"
418,Petra Essence of Mexico,Mckinney,"soft corn or flour tortillas topped with caramelized pork carnitas, jack cheese, pineapple and fresh avocado slices served with mexican slaw, marinated caramelized onions and guajillo chile sauce"
419,Petra Essence of Mexico,Mckinney,"soft corn or flour tortillas topped with sauteed garlic, spinach, carrots, mushroom, tomatoes, avocado, and cilantro"
420,Denny's,Grand Island,"crispy bacon, avocado, two scrambled eggs, our smoky cheese blend, freshly made pico de gallo and chipotle sauce hand-wrapped in a large flour tortilla. grilled and served with crispy hash browns."
421,Skyline Chili,Fort Myers,"skyline chili bean mix in a soft tortilla, topped with our secretrecipe chili, diced tomatoes, lettuce, shredded cheddar cheese, sour cream and a black olive slice."
423,Skyline Chili,Fort Myers,"skyline chili in a soft tortilla, topped with more chili, diced tomatoes, lettuce, shredded cheddar cheese, sour cream and a black olive slice."
424,Skyline Chili,Fort Myers,"skyline black beans and rice in a soft tortilla, topped with more black beans and rice and shredded cheddar cheese."
425,Skyline Chili,Fort Myers,"skyline black beans and rice in a soft tortilla, topped with more black beans and rice, diced tomatoes, lettuce, shredded cheddar cheese, sour cream and a black olive slice."
427,Cheesecake Factory,Lone Tree,"soft corn tortillas filled with spicy chicken, cheese, avocado, tomato, onions and cilantro. served with black beans and rice."
428,Cheesecake Factory,Lone Tree,"a monster burrito with chicken, cheese, cilantro rice, onions and peppers. served with guacamole, sour cream, salsa and black beans"
429,Cheesecake Factory,Lone Tree,"soft corn tortillas filled with grilled or crispy tempura fish, avocado, tomato, onions, cilantro and crema. served with black beans and rice."
430,Cheesecake Factory,Lone Tree,"three soft corn tortillas filled with spicy chicken or shrimp, avocado, tomato, onions, cilantro and crema. served with spanish rice"
431,Cheesecake Factory,Lone Tree,"stuffed with scrambled eggs, chicken chorizo, potatoes, peppers and onions. topped with melted cheese, salsa, cilantro, tomatillo and avocado cream sauce. served with black beans."
432,Cheesecake Factory,Lone Tree,"steamed asian buns with roasted pork, marinated cucumbers, carrots and onion with chiles, cilantro and sesame seeds."
450,Hardee's / Red Burrito,Crestwood,"loaded with eggs, crumbled sausage, bacon and diced ham, lots of shredded cheddar cheese, then wrapped in a warm flour tortilla. served with zest y salsa."
452,Rivera's Mexican Restaurant,Long Beach,"your choice of meat with rice and beans on the side, sauce and cheese on top, sour cream and guacamole on the side"
453,Rivera's Mexican Restaurant,Long Beach,"your choice of meat with rice and beans inside the burrito, sauce and cheese on top, sour cream and guacamole on the side"
457,Cha Cha's Mexican Restaurant,San Antonio,"three grilled tilapia tacos with avocado, lemon juice, lettuce and tomato, served with mexican rice, salad and sliced avocados."
459,Cha Cha's Mexican Restaurant,San Antonio,"three grilled shrimp tacos with avocado, lemon juice, lettuce and tomato, served with mexican rice, salad and sliced avocados."
470,Victory Cafe,Albany,"spiced chicken, tomato sauce. mozzarella and cheddar cheese, jalapeno peppers, tomatoes, diced onions. topped with crushed yellow corn tortilla chips."
474,Rice Junkies - Hawthorne,Portland,"bulgogi beef, spanish rice, kimchi, pickled cabbage, red onion, and lettuce with sour cream, soy ginger, and cheese."
475,Rice Junkies - Hawthorne,Portland,"chicken breast, avocado, black beans, corn, jack and cheddar cheese, tomatoes, lettuce, salsa, rice, and yogurt sauce"
476,Rockfish Seafood Grill,Houston,"crispy fried alaskan pollock, pico de gallo, cabbage, cheese and our signature ancho chile sauce wrapped in a flour tortilla. served with rice pilaf."
477,Rockfish Seafood Grill,Houston,"crispy fried alaskan pollock, pico de gallo, cabbage, cheese and our signature ancho chile sauce wrapped in flour tortillas. served with rice pilaf."
484,Chevys Fresh Mex,Modesto,"two handmade soft flour tortillas filled with grilled fish, chipotle aioli, crisp lettuce, pico de gallo and cotija cheese"
486,El Paso Mexican Grill,Brooklyn,"choice of flour or whole wheat tortilla, scrambled eggs, choice of meat, beans, pico de gallo, sour cream and salsa"
487,El Paso Mexican Grill,Brooklyn,"3 soft tacos choice of tortilla with scrambled eggs, your choice of meat, cheese, pico de gallo and sour cream"
491,El Paso Mexican Grill,Brooklyn,"crispy flour tortillo bowl served with lettuce and your choice of meat, cheese, pico de gallo, corn, sour cream, guacamole and choice of salsa"
493,El Paso Mexican Grill,Brooklyn,"eight assorted tacos (one of each meat) on choice tortilla served with choice of cheese, lettuce, pico de gallo and choice of salsa"
494,El Paso Mexican Grill,Brooklyn,"a flour tortillo with your choice of meat, rice, beans and pico de gallo, rolled up and topped with salsa, melted cheese and sour cream"
498,Red Brick Tavern,Athens,"choice of hard or soft taco shells (3 per selection) . also choice of sauteed chicken, or seasoned beef. tacos are topped with cheese, onions, lettuce, and tomato. salsa and sour cream are served on the side. served with refried beans and seasoned rice."
513,Game On Lakewood,Lakewood,"grilled quesadilla loaded with blended cheeses and taco beef served with shredded lettuce, diced tomato and sour cream"
523,Carl's Jr.,San Diego,"scrambled eggs, sausage, ham, bacon bits, hash brown nuggets, shredded jack and cheddar cheeses and fresh salsa wrapped in a warm flour tortilla."
524,Carl's Jr.,San Diego,"scrambled eggs, grilled steak, pepperjack cheese, shredded jack and cheddar cheeses and fresh salsa wrapped in a warm flour tortilla."
539,Mama Juanita's Mexican Restaurant,Conroe,"homemade soft flour tortilla stuffed with beans and cheese, topped with beef gravy sauce and chile con queso."
540,Mama Juanita's Mexican Restaurant,Conroe,"(1) chile con queso puff and (1) ground beef or chicken ranchero crispy soft taco, served with guacamole."
